silence - 
6678 msec:

7919 msec:

9351 msec:

9875 msec:

9998 msec:

10162 msec:

10448 msec:

10857 msec:

10912 msec:

11309 msec:

11391 msec:

11459 msec:

11650 msec:

11670 msec:

11677 msec:

11691 msec:

11704 msec:

11711 msec:

11752 msec:

11786 msec:

11800 msec:

11820 msec:

11861 msec:

11868 msec:

11882 msec:

11902 msec:

11950 msec:

11964 msec:

12032 msec:

12046 msec:

12079 msec:

12114 msec:

12128 msec:

12141 msec:

12147 msec:

12155 msec:

12161 msec:

12168 msec:

12188 msec:

12202 msec:

12229 msec:

12243 msec:

12250 msec:

12256 msec:

12270 msec:

12297 msec:

12311 msec:

12325 msec:

12332 msec:

12338 msec:

12346 msec:

12352 msec:

12359 msec:

12365 msec:

12379 msec:

12393 msec:

12414 msec:

12420 msec:

12428 msec:

12434 msec:

12441 msec:

12447 msec:

12455 msec:

12461 msec:

12467 msec:

12468 msec:

12474 msec:

12475 msec:

12495 msec:

12502 msec:

12522 msec:

12529 msec:

12543 msec:

12549 msec:

12556 msec:

12563 msec:

12570 msec:

12577 msec:

12583 msec:

12584 msec:

12591 msec:

12597 msec:

12604 msec:

12610 msec:

12611 msec:

12614 msec:

12615 msec:

12618 msec:

12624 msec:

12625 msec:

12638 msec:

12641 msec:

12642 msec:

12645 msec:

12651 msec:

12652 msec:

12656 msec:

12659 msec:

12665 msec:

12666 msec:

12669 msec:

12670 msec:

12673 msec:

12678 msec:

12679 msec:

12680 msec:

12682 msec:

12683 msec:

12684 msec:

12686 msec:

12692 msec:

12693 msec:

12696 msec:

12697 msec:

12698 msec:

12700 msec:

12706 msec:

12707 msec:

12709 msec:

12710 msec:

12711 msec:

12714 msec:

12719 msec:

12720 msec:

12723 msec:

12724 msec:

12725 msec:

12728 msec:

12730 msec:

12733 msec:

12734 msec:

12737 msec:

12738 msec:

12739 msec:

12741 msec:

12744 msec:

12747 msec:

12748 msec:

12749 msec:

12750 msec:

12751 msec:

12752 msec:

12753 msec:

12755 msec:

12760 msec:

12761 msec:

12762 msec:

12763 msec:

12764 msec:

12765 msec:

12766 msec:

12767 msec:

12769 msec:

12771 msec:

12774 msec:

12775 msec:

12777 msec:

12778 msec:

12779 msec:

12780 msec:

12781 msec:

12782 msec:

12783 msec:

12785 msec:

12787 msec:

12788 msec:

12789 msec:

12790 msec:

12791 msec:

12792 msec:

12793 msec:

12794 msec:

12796 msec:

12801 msec:

12802 msec:

12803 msec:

12804 msec:

12805 msec:

12806 msec:

12807 msec:

12808 msec:

12810 msec:

12812 msec:

12814 msec:

12815 msec:

12816 msec:

12817 msec:

12818 msec:

12819 msec:

12820 msec:

12821 msec:

12822 msec:

12823 msec:

12824 msec:

12828 msec:

12829 msec:

12830 msec:

12831 msec:

12832 msec:

12833 msec:

12834 msec:

12835 msec:

12836 msec:

12837 msec:

12838 msec:

12842 msec:

12843 msec:

12844 msec:

12845 msec:

12846 msec:

12847 msec:

12848 msec:

12849 msec:

12850 msec:

12851 msec:

12852 msec:

12853 msec:

12855 msec:

12856 msec:

12857 msec:

12858 msec:

12859 msec:

12860 msec:

12861 msec:

12862 msec:

12863 msec:

12864 msec:

12865 msec:

12866 msec:

12869 msec:

12870 msec:

12871 msec:

12872 msec:

12873 msec:

12874 msec:

12875 msec:

12876 msec:

12877 msec:

12878 msec:

12879 msec:

12880 msec:

12882 msec:

12883 msec:

12884 msec:

12885 msec:

12886 msec:

12887 msec:

12888 msec:

12889 msec:

12890 msec:

12891 msec:

12892 msec:

12893 msec:

12894 msec:

12895 msec:

12896 msec:

12897 msec:

12898 msec:

12899 msec:

12900 msec:

12901 msec:

12902 msec:

12903 msec:

12904 msec:

12905 msec:

12906 msec:

12907 msec:

12908 msec:

12909 msec:

12910 msec:

12911 msec:

12912 msec:

12913 msec:

12914 msec:

12915 msec:

12916 msec:

12917 msec:

12918 msec:

12919 msec:

12920 msec:

12921 msec:

12923 msec:

12924 msec:

12925 msec:

12926 msec:

12927 msec:

12928 msec:

12929 msec:

12930 msec:

12931 msec:

12932 msec:

12933 msec:

12934 msec:

12935 msec:

12936 msec:

12937 msec:

12938 msec:

12939 msec:

12940 msec:

12941 msec:

12942 msec:

12943 msec:

12944 msec:

12945 msec:

12946 msec:

12947 msec:

12948 msec:

12949 msec:

12950 msec:

12951 msec:

12952 msec:

12953 msec:

12954 msec:

12955 msec:

12956 msec:

12957 msec:

12958 msec:

12959 msec:

12960 msec:

12961 msec:

12962 msec:

12964 msec:

12965 msec:

12966 msec:

12967 msec:

12968 msec:

12969 msec:

12970 msec:

12971 msec:

12972 msec:

12973 msec:

12974 msec:

12975 msec:

12976 msec:

12977 msec:

12978 msec:

12979 msec:

12980 msec:

12981 msec:

12982 msec:

12983 msec:

12984 msec:

12985 msec:

12986 msec:

12987 msec:

12988 msec:

12989 msec:

12990 msec:

12991 msec:

12992 msec:

12993 msec:

12994 msec:

12995 msec:

12996 msec:

12997 msec:

12998 msec:

12999 msec:

13000 msec:

